1,Phased,2,4,2
2,maximized,6,1,3
3,real-time,3,4,3
4,capacity,6,3,4
5,optimizing,2,3,4
6,even-keeled,6,1,3
7,Extended,1,2,3
8,instruction set,6,2,4
9,dedicated,2,4,2
10,architecture,4,3,2
11,Persistent,4,3,3
12,attitude-oriented,2,3,3
13,Front-line,2,4,4
14,bifurcated,4,4,2
15,client-server,2,1,2
16,Upgradable,6,2,3
17,foreground,3,2,3
18,Synergized,6,3,4
19,leverage,2,3,3
20,needs-based,4,2,3
21,optimal,6,4,3
22,actuating,3,4,4
23,Assimilated,2,1,2
24,Expanded,3,4,3
25,access,4,4,1
26,executive,6,2,3
27,Optional,5,1,3
28,Down-sized,1,3,1
29,maximized,5,2,4
30,Configurable,5,3,4
31,heuristic,1,2,3
32,Monitored,5,2,3
33,Managed,1,4,1
34,methodology,6,2,3
35,web-enabled,5,4,1
36,encoding,2,3,1
37,Team-oriented,6,1,1
38,Fundamental,6,4,3
39,solution,2,3,1
40,executive,6,1,2
41,pricing structure,6,2,2
42,Business-focused,5,4,3
43,firmware,2,3,1
44,full-range,3,1,2
45,maximized,6,3,1
46,neutral,4,4,3
47,conglomeration,2,1,1
48,portal,6,2,1
49,value-added,2,3,2
50,solution-oriented,5,2,1
51,neutral,5,3,1
52,throughput,4,2,2
53,Cross-platform,5,1,2
54,Grass-roots,6,4,1
55,focus group,2,4,4
56,process improvement,1,1,4
57,Extended,6,3,3
58,Secured,6,2,3
59,open architecture,4,4,4
60,leading edge,4,3,4
61,Multi-channelled,2,4,2
62,Intuitive,6,3,2
63,focus group,1,4,2
64,optimizing,1,2,3
65,content-based,3,3,4
66,toolset,2,2,3
67,modular,6,1,2
68,Quality-focused,3,2,4
69,De-engineered,2,3,2
70,Adaptive,2,3,4
71,5th generation,4,1,3
72,systematic,1,4,3
73,Reduced,2,4,2
74,encryption,6,2,3
75,policy,3,2,1
76,Streamlined,6,1,1
77,Decentralized,2,1,4
78,Cross-group,2,4,4
79,discrete,6,1,4
80,Triple-buffered,1,3,2
81,non-volatile,4,2,4
82,client-server,6,3,2
83,secondary,4,3,3
84,Front-line,4,3,3
85,solution-oriented,1,1,3
86,asymmetric,1,1,4
87,matrices,6,2,1
88,systematic,4,1,3
89,project,4,2,2
90,Reverse-engineered,1,4,3
91,Integrated,4,2,2
92,6th generation,1,2,1
93,Multi-tiered,2,4,3
94,5th generation,2,1,1
95,Devolved,1,1,2
96,Proactive,5,2,2
97,local area network,5,2,3
98,Implemented,2,1,3
99,Cross-platform,2,4,3
100,Automated,1,1,4
101,circuit,4,1,4
102,Automated,5,4,3
103,empowering,4,4,3
104,Cloned,2,2,4
105,actuating,4,1,3
106,Total,4,3,4
107,Balanced,6,4,4
108,foreground,2,3,4
109,dedicated,6,4,3
110,system-worthy,3,4,1
111,Progressive,1,2,3
112,productivity,6,3,2
113,systemic,4,3,4
114,Fully-configurable,1,1,1
115,Proactive,4,2,1
116,Business-focused,5,3,4
117,eco-centric,3,1,3
118,leverage,2,3,1
119,Re-contextualized,3,1,2
120,bottom-line,1,3,3
121,Profound,4,1,1
122,Devolved,2,3,4
123,local,5,2,3
124,challenge,3,1,4
125,composite,4,1,4
126,conglomeration,2,3,1
127,optimal,3,2,4
128,directional,2,2,4
129,global,6,3,4
130,Ergonomic,1,2,4
131,hub,3,3,4
132,Operative,6,2,3
133,open architecture,4,2,3
134,bottom-line,3,3,3
135,Adaptive,2,4,2
136,workforce,6,2,1
137,Progressive,3,3,4
138,Horizontal,4,2,2
139,multi-tasking,5,1,1
140,value-added,1,3,3
141,5th generation,4,2,3
142,workforce,6,4,1
143,Focused,6,4,1
144,optimizing,4,2,4
145,User-centric,1,3,1
146,local area network,2,1,3
147,Total,6,3,2
148,protocol,4,3,1
149,mission-critical,2,3,2
150,Ameliorated,2,4,3
151,model,5,4,1
152,project,2,2,2
153,Grass-roots,6,2,1
154,Automated,6,3,3
155,throughput,5,1,3
156,Cross-platform,3,4,1
157,application,1,4,2
158,algorithm,2,3,2
159,multimedia,6,1,3
160,user-facing,1,3,4
161,customer loyalty,4,1,1
162,User-centric,6,2,2
163,monitoring,1,3,2
164,info-mediaries,2,4,3
165,Virtual,3,4,2
166,service-desk,5,3,1
167,emulation,1,3,3
168,Robust,4,4,2
169,Monitored,6,2,4
170,systematic,4,3,4
171,Virtual,2,2,3
172,definition,5,2,1
173,Quality-focused,2,3,3
174,analyzer,4,4,2
175,uniform,5,4,3
176,Quality-focused,6,3,3
177,secondary,1,3,4
178,heuristic,3,3,3
179,Multi-channelled,5,1,4
180,upward-trending,2,2,4
181,Proactive,1,1,1
182,secondary,6,4,3
183,Polarised,4,2,1
184,Robust,1,1,2
185,hierarchy,5,4,2
186,Reduced,4,1,3
187,Assimilated,3,2,4
188,migration,4,4,4
189,responsive,6,3,2
190,Universal,2,3,2
191,secured line,3,4,3
192,functionalities,2,2,2
193,orchestration,2,2,2
194,Progressive,3,1,3
195,incremental,1,2,3
196,Digitized,1,1,3
197,global,4,4,3
198,3rd generation,3,2,3
199,middleware,5,4,3
200,Switchable,4,4,3
201,hybrid,5,2,3
202,Switchable,4,1,2
203,national,6,2,4
204,analyzer,2,2,4
205,encoding,6,4,3
206,Virtual,5,2,3
207,coherent,4,2,4
208,circuit,1,2,1
209,well-modulated,2,1,3
210,Organic,6,2,1
211,Phased,6,1,4
212,synergy,4,4,4
213,software,5,3,3
214,Open-source,3,4,3
215,content-based,2,4,4
216,pricing structure,5,2,1
217,multi-tasking,4,3,3
218,regional,4,2,2
219,Extended,5,4,1
220,Synergized,5,2,4
221,optimal,5,4,2
222,secured line,5,3,1
223,5th generation,2,2,1
224,superstructure,3,3,1
225,intranet,1,2,3
226,zero tolerance,2,4,4
227,Distributed,3,1,4
228,framework,6,2,2
229,Visionary,5,4,1
230,frame,3,3,2
231,Future-proofed,5,1,2
232,multi-state,2,1,2
233,structure,4,2,3
234,knowledge user,5,2,3
235,maximized,4,1,1
236,Multi-lateral,6,2,4
237,De-engineered,6,4,4
238,Right-sized,2,3,4
239,internet solution,3,4,1
240,project,6,1,4
241,didactic,5,4,3
242,Total,5,3,3
243,Integrated,1,2,2
244,benchmark,5,1,4
245,Balanced,3,1,2
246,Assimilated,5,3,1
247,monitoring,6,1,1
248,product,2,4,4
249,firmware,6,4,3
250,leverage,4,3,4
251,incremental,1,4,4
252,array,6,2,2
253,Digitized,1,4,4
254,upward-trending,4,2,4
255,real-time,3,2,3
256,portal,3,1,3
257,Proactive,2,4,4
258,local,1,3,1
259,3rd generation,3,1,2
260,Cross-platform,3,2,3
261,collaboration,1,1,4
262,array,3,4,1
263,Digitized,6,4,4
264,mobile,3,1,4
265,Function-based,2,2,3
266,client-driven,5,1,4
267,User-friendly,5,2,3
268,groupware,2,2,1
269,customer loyalty,3,4,3
270,task-force,3,1,3
271,Enhanced,2,1,3
272,analyzing,2,4,4
273,Visionary,2,2,4
274,analyzer,6,2,4
275,local,3,4,1
276,Secured,2,1,2
277,database,1,2,2
278,Optimized,2,4,3
279,global,2,3,3
280,Versatile,5,4,1
281,Networked,6,4,2
282,fresh-thinking,6,1,4
283,interface,1,1,1
284,Down-sized,2,1,3
285,leading edge,6,3,4
286,incremental,3,2,3
287,Innovative,2,3,3
288,open system,1,4,1
289,hierarchy,5,2,4
290,User-centric,5,4,4
291,Robust,4,3,1
292,multi-tasking,1,4,4
293,national,1,1,3
294,functionalities,6,4,2
295,Extended,6,4,1
296,Virtual,1,1,2
297,Down-sized,6,3,3
298,background,1,2,2
299,focus group,5,3,4
300,Implemented,6,2,4
301,regional,5,4,3
302,software,6,1,2
303,benchmark,6,4,2
304,Pre-emptive,2,1,2
305,content-based,2,3,1
306,Configurable,5,1,1
307,user-facing,5,1,3
308,logistical,6,2,1
309,Multi-channelled,4,3,3
310,even-keeled,3,2,3
311,logistical,4,1,4
312,eco-centric,3,1,2
313,paradigm,4,4,1
314,project,1,1,3
315,alliance,1,1,2
316,Front-line,2,2,4
317,toolset,6,2,2
318,Face to face,3,2,3
319,Face to face,1,1,4
320,national,1,3,1
321,client-driven,1,4,1
322,Synergistic,1,4,3
323,Open-source,2,4,4
324,bifurcated,5,2,4
325,infrastructure,6,4,1
326,asymmetric,5,2,4
327,reciprocal,5,3,2
328,next generation,2,3,1
329,directional,1,2,4
330,pricing structure,6,2,4
331,Realigned,5,3,4
332,Progressive,5,3,2
333,Secured,2,2,1
334,Digitized,1,2,3
335,analyzing,3,3,4
336,support,2,4,4
337,Reactive,3,2,2
338,Stand-alone,6,3,3
339,algorithm,3,4,3
340,directional,4,2,4
341,function,6,1,2
342,background,3,1,2
343,Pre-emptive,4,3,3
344,grid-enabled,3,2,2
345,Reactive,5,4,4
346,Business-focused,6,2,2
347,Re-contextualized,2,1,3
348,Secured,6,1,3
349,superstructure,2,2,3
350,Innovative,1,4,4
351,Progressive,4,3,2
352,Distributed,3,2,1
353,hierarchy,5,4,3
354,methodical,2,3,1
355,Diverse,5,2,1
356,architecture,1,1,3
357,Reverse-engineered,2,4,3
358,approach,4,2,2
359,collaboration,4,2,3
360,asymmetric,4,4,2
361,Re-contextualized,5,2,1
362,Object-based,5,1,3
363,Progressive,1,4,2
364,time-frame,1,4,2
365,support,6,2,1
366,Ameliorated,1,2,1
367,focus group,4,1,4
368,local,3,3,1
369,budgetary management,2,4,3
370,client-driven,2,2,3
371,analyzer,2,3,1
372,Extended,6,1,3
373,Multi-channelled,6,4,1
374,leading edge,2,4,4
375,monitoring,6,1,3
376,leverage,3,2,3
377,content-based,3,1,1
378,capacity,3,4,1
379,Networked,1,4,4
380,Diverse,5,3,1
381,multi-state,1,1,2
382,internet solution,2,3,4
383,exuding,3,3,3
384,Organized,5,3,4
385,Stand-alone,1,4,4
386,bi-directional,3,2,2
387,Function-based,4,4,2
388,multi-tasking,1,2,1
389,Visionary,4,3,2
390,client-server,1,4,1
391,disintermediate,5,2,4
392,Progressive,6,1,4
393,orchestration,3,2,1
394,Expanded,1,2,3
395,neural-net,2,4,4
396,Implemented,5,4,2
397,Distributed,6,2,2
398,Optimized,6,2,3
399,Seamless,2,4,4
400,Intuitive,4,4,2
401,dynamic,1,2,4
402,Visionary,3,3,1
403,systematic,2,4,3
404,Self-enabling,5,1,1
405,content-based,4,2,4
406,Advanced,6,4,4
407,software,2,3,4
408,3rd generation,3,4,3
409,incremental,5,1,4
410,methodology,1,4,4
411,Automated,6,2,2
412,homogeneous,3,1,4
413,Enterprise-wide,6,4,3
414,workforce,2,4,1
415,coherent,5,3,3
416,toolset,4,4,2
417,Organic,6,3,2
418,Synergistic,4,2,4
419,methodical,1,2,1
420,Up-sized,4,1,3
421,encompassing,3,1,1
422,intangible,3,3,4
423,product,2,2,3
424,structure,4,3,3
425,software,3,3,2
426,ability,2,4,4
427,workforce,1,1,3
428,initiative,2,2,2
429,knowledge base,1,2,3
430,cohesive,6,4,2
431,analyzer,2,2,2
432,alliance,4,4,1
433,client-driven,3,1,3
434,multi-state,5,2,2
435,Ameliorated,5,3,1
436,groupware,5,1,1
437,utilisation,5,2,2
438,parallelism,1,3,3
439,static,5,1,1
440,Right-sized,6,4,2
441,synergy,5,1,4
442,Profit-focused,2,1,2
443,background,4,2,2
444,intermediate,3,1,3
445,impactful,5,4,3
446,Automated,2,3,4
447,Open-architected,6,4,3
448,Synchronised,2,1,3
449,info-mediaries,1,2,2
450,monitoring,6,2,3
451,Total,3,3,4
452,client-server,2,3,2
453,interactive,4,2,3
454,Function-based,1,4,4
455,dedicated,4,1,1
456,Multi-channelled,2,3,1
457,Advanced,4,4,2
458,productivity,1,1,4
459,multi-state,1,3,2
460,Fully-configurable,5,2,4
461,client-server,1,1,2
462,focus group,6,4,1
463,initiative,5,4,2
464,matrices,3,1,1
465,artificial intelligence,1,1,2
466,utilisation,4,2,4
467,zero defect,4,1,4
468,contingency,6,4,4
469,Enhanced,3,1,3
470,foreground,4,1,4
471,Multi-layered,1,2,1
472,Decentralized,2,1,2
473,monitoring,1,1,3
474,challenge,2,4,3
475,Ameliorated,5,3,2
476,secured line,4,2,2
477,Optimized,6,3,2
478,Robust,5,1,1
479,heuristic,2,3,1
480,definition,6,1,2
481,function,3,3,2
482,frame,3,4,2
483,model,4,3,2
484,next generation,1,4,3
485,time-frame,2,2,4
486,Assimilated,4,1,3
487,Enhanced,6,2,4
488,motivating,5,3,3
489,Team-oriented,2,3,3
490,Total,2,2,4
491,strategy,3,4,2
492,client-server,1,4,2
493,tangible,3,1,3
494,Horizontal,2,2,4
495,Optional,1,2,1
496,Persevering,2,3,3
497,Synergized,3,2,1
498,client-driven,2,3,3
499,static,1,3,4
500,toolset,1,4,1
501,Persistent,4,3,1
502,info-mediaries,5,4,1
503,forecast,4,3,3
504,Extended,2,2,4
505,regional,5,3,3
506,multimedia,3,3,1
507,open system,4,3,4
508,intermediate,3,1,3
509,implementation,1,3,3
510,application,6,3,2
511,Synchronised,4,3,1
512,Down-sized,5,2,1
513,Ergonomic,6,2,1
514,executive,2,3,4
515,multi-tasking,1,4,3
516,local,4,3,1
517,optimizing,4,1,2
518,flexibility,4,3,3
519,frame,6,3,3
520,even-keeled,6,3,1
521,focus group,2,3,3
522,Triple-buffered,5,3,2
523,concept,2,4,1
524,forecast,1,1,3
525,Customizable,2,2,2
526,capacity,2,2,2
527,Fundamental,2,1,3
528,global,3,3,4
529,Focused,2,3,1
530,Implemented,3,2,2
531,system-worthy,2,1,2
532,portal,4,2,4
533,contextually-based,6,1,1
534,bandwidth-monitored,3,4,1
535,value-added,2,4,3
536,maximized,4,3,2
537,customer loyalty,3,3,2
538,circuit,4,3,3
539,infrastructure,5,1,4
540,Optimized,1,2,1
541,Graphic Interface,5,2,2
542,access,1,2,4
543,Stand-alone,2,4,1
544,client-server,3,2,1
545,flexibility,6,3,2
546,Virtual,5,2,3
547,Quality-focused,3,4,4
548,monitoring,6,1,2
549,solution,6,4,4
550,Profound,3,1,4
551,architecture,2,2,3
552,client-server,5,2,1
553,Persevering,5,4,4
554,Pre-emptive,6,2,1
555,solution-oriented,3,4,1
556,coherent,6,3,2
557,Phased,5,4,3
558,Function-based,1,3,2
559,even-keeled,5,3,3
560,Organic,2,1,4
561,bi-directional,6,4,3
562,Enterprise-wide,2,1,2
563,secured line,1,4,1
564,non-volatile,1,3,1
565,analyzer,6,4,1
566,Graphical User Interface,1,3,2
567,Versatile,5,1,1
568,static,1,3,3
569,multi-state,5,4,1
570,discrete,6,1,3
571,object-oriented,3,2,4
572,Open-architected,1,2,1
573,explicit,5,4,4
574,Intuitive,4,4,1
575,Synergized,5,4,1
576,success,2,3,2
577,function,4,3,1
578,Multi-channelled,1,4,1
579,Reduced,6,4,2
580,flexibility,4,4,2
581,Virtual,1,1,4
582,benchmark,3,2,3
583,regional,6,1,1
584,Multi-channelled,2,2,4
585,pricing structure,2,3,3
586,full-range,5,1,1
587,real-time,5,4,3
588,radical,1,1,3
589,alliance,6,2,4
590,forecast,3,2,4
591,matrices,5,4,2
592,mission-critical,4,1,2
593,Implemented,6,2,4
594,Optimized,5,1,4
595,Fundamental,2,1,1
596,Expanded,2,2,4
597,complexity,6,3,3
598,intranet,6,3,1
599,Assimilated,2,2,4
600,Universal,4,4,2
601,core,4,2,4
602,Triple-buffered,6,1,1
603,regional,2,4,1
604,Triple-buffered,1,4,2
605,optimal,6,4,4
606,transitional,6,1,1
607,Cross-platform,5,1,4
608,upward-trending,5,3,2
609,array,6,3,2
610,local,3,4,2
611,success,4,3,2
612,User-centric,4,2,2
613,Visionary,2,3,2
614,Devolved,4,4,3
615,explicit,1,3,2
616,local area network,3,3,1
617,even-keeled,3,1,3
618,well-modulated,6,4,4
619,collaboration,3,3,1
620,national,4,2,1
621,complexity,5,2,1
622,Function-based,5,3,2
623,standardization,2,2,1
624,bottom-line,3,4,3
625,Realigned,3,2,3
626,discrete,1,4,4
627,Open-source,1,1,3
628,Graphic Interface,2,2,3
629,upward-trending,1,2,3
630,multimedia,1,1,4
631,Re-engineered,3,1,3
632,Team-oriented,6,1,4
633,framework,5,1,4
634,software,1,3,1
635,software,2,2,1
636,Re-contextualized,6,4,2
637,object-oriented,1,3,3
638,foreground,4,2,3
639,exuding,5,2,3
640,intangible,6,1,2
641,encoding,3,2,1
642,Customizable,3,4,4
643,framework,5,4,1
644,application,5,4,3
645,artificial intelligence,4,2,4
646,context-sensitive,1,1,2
647,Ergonomic,5,4,4
648,Balanced,5,4,3
649,Synchronised,4,3,3
650,collaboration,2,1,4
651,24/7,4,4,2
652,Enterprise-wide,2,1,2
653,grid-enabled,6,3,2
654,upward-trending,6,4,4
655,mission-critical,2,4,1
656,static,1,4,4
657,forecast,4,4,1
658,heuristic,4,3,2
659,interface,4,2,3
660,homogeneous,6,1,2
661,Organic,5,3,3
662,neutral,5,2,2
663,Assimilated,6,1,3
664,bandwidth-monitored,5,1,4
665,software,4,2,3
666,Public-key,1,2,3
667,Mandatory,4,4,2
668,knowledge base,1,2,4
669,Balanced,1,3,4
670,help-desk,5,2,2
671,Future-proofed,4,4,1
672,Enhanced,3,4,3
673,artificial intelligence,4,2,3
674,Face to face,3,2,4
675,hierarchy,2,2,3
676,projection,2,3,1
677,Pre-emptive,1,3,3
678,Visionary,2,4,3
679,composite,2,4,1
680,strategy,4,3,2
681,Graphical User Interface,6,2,1
682,Versatile,6,3,4
683,Enhanced,5,2,2
684,Fully-configurable,6,4,1
685,Vision-oriented,2,2,2
686,Persistent,4,1,3
687,Implemented,3,1,1
688,Versatile,2,3,1
689,Stand-alone,2,4,3
690,benchmark,4,3,1
691,Future-proofed,5,2,2
692,toolset,2,2,3
693,tangible,6,3,1
694,executive,2,3,4
695,motivating,2,1,1
696,intranet,3,4,1
697,bifurcated,4,3,4
698,challenge,4,3,4
699,solution-oriented,1,1,1
700,heuristic,4,1,1
701,Right-sized,1,4,3
702,Diverse,6,4,4
703,mission-critical,5,1,2
704,Devolved,5,4,2
705,definition,2,2,4
706,global,2,4,3
707,neutral,4,1,1
708,Compatible,1,1,2
709,software,3,3,2
710,Optimized,6,3,3
711,Reverse-engineered,2,4,2
712,system engine,2,3,1
713,approach,2,4,3
714,Innovative,3,4,3
715,Polarised,2,3,2
716,emulation,1,4,2
717,neural-net,3,1,2
718,Open-source,3,3,1
719,knowledge base,1,3,4
720,Customizable,3,1,4
721,process improvement,3,2,2
722,leverage,2,1,4
723,moderator,2,1,2
724,website,6,4,4
725,Persevering,6,1,2
726,process improvement,3,2,2
727,collaboration,2,4,2
728,systematic,5,4,2
729,leverage,3,1,1
730,motivating,1,2,3
731,Proactive,2,4,3
732,directional,2,4,4
733,toolset,4,3,3
734,object-oriented,4,2,4
735,Phased,4,4,3
736,protocol,3,1,2
737,customer loyalty,3,3,4
738,neural-net,3,2,3
739,moratorium,6,2,4
740,radical,6,4,2
741,matrices,2,1,2
742,circuit,2,1,3
743,user-facing,4,1,3
744,User-centric,1,1,2
745,software,6,2,3
746,application,6,2,1
747,Open-source,6,3,1
748,groupware,3,3,4
749,methodology,3,4,2
750,conglomeration,5,2,2
751,client-driven,2,3,2
752,implementation,2,2,4
753,Pre-emptive,6,4,2
754,intranet,5,1,1
755,Right-sized,5,2,1
756,Horizontal,6,4,2
757,emulation,1,1,4
758,knowledge base,4,2,2
759,service-desk,4,1,4
760,Persistent,3,1,2
761,Up-sized,6,4,3
762,toolset,3,3,1
763,methodical,4,4,3
764,Synergistic,3,3,1
765,installation,4,4,4
766,Open-source,6,2,2
767,knowledge user,6,2,4
768,bottom-line,1,2,4
769,challenge,6,4,2
770,Up-sized,5,3,2
771,paradigm,2,2,4
772,value-added,1,4,1
773,initiative,5,4,3
774,Multi-channelled,1,1,4
775,composite,2,2,3
776,Streamlined,6,2,4
777,secured line,5,3,2
778,Front-line,2,4,1
779,Pre-emptive,5,3,1
780,Programmable,2,3,4
781,approach,3,2,1
782,extranet,6,3,4
783,grid-enabled,2,2,1
784,even-keeled,5,3,4
785,Progressive,5,3,2
786,Advanced,3,1,2
787,Centralized,3,1,3
788,concept,1,2,4
789,national,3,4,2
790,clear-thinking,6,4,3
791,multi-tasking,2,2,4
792,Ameliorated,5,1,2
793,Sharable,3,3,1
794,Right-sized,1,4,4
795,Persevering,6,4,4
796,scalable,3,3,1
797,Networked,6,4,3
798,Secured,6,4,2
799,Synergized,5,4,2
800,Ergonomic,2,2,4
801,Organized,1,3,4
802,zero defect,3,3,2
803,synergy,1,3,1
804,framework,5,1,2
805,tertiary,1,3,4
806,object-oriented,4,3,1
807,Down-sized,2,2,4
808,explicit,1,4,4
809,Synchronised,3,4,1
810,radical,5,4,2
811,capability,1,1,2
812,circuit,2,1,1
813,Switchable,4,1,2
814,superstructure,2,4,4
815,local,6,3,3
816,budgetary management,2,3,3
817,benchmark,3,4,3
818,Automated,2,3,3
819,hub,5,1,2
